Parcel,Code,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24
BGP086,GLLE3,0,,0,,1,,0,,2,,0,,1,,0,,,,,,,,,
BGP086,ARTRT,0,,0,,0,,0,,0,,0,,0,,3,,,,,,,,,
BGP086,SUNI,2,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,
BGP086,ELTR3,0,,0,,0,,0,,0,,1,,0,,0,,,,,,,,,
BGP086,ATCO,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,
BGP086,CORA5,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,
BGP086,NIOC2,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,
BGP088,SAVE4,2,,15,,0,,2,,1,,,,,,,,,,,,,,,
BGP088,ARTRT,0,,0,,0,,6,,9,,,,,,,,,,,,,,,
BGP088,ATTO,1,,3,,9,,0,,0,,,,,,,,,,,,,,,
BGP088,ERNA10,1,,0,,0,,2,,1,,,,,,,,,,,,,,,
BGP088,SPAI,1,,0,,0,,1,,2,,,,,,,,,,,,,,,
BGP088,GLLE3,0,,0,,3,,0,,0,,,,,,,,,,,,,,,
BGP088,DISP,1,,0,,0,,0,,1,,,,,,,,,,,,,,,
BGP088,ELCI2,0,,0,,0,,1,,0,,,,,,,,,,,,,,,
BGP094,SPAI,3,,35,,32,,1,,0,,0,,,,,,,,,,,,,
BGP094,DISP,9,,3,,2,,18,,30,,2,,,,,,,,,,,,,
BGP094,GLLE3,16,,0,,1,,14,,1,,0,,,,,,,,,,,,,
BGP094,SAEX,0,,0,,0,,0,,0,,28,,,,,,,,,,,,,
BGP094,ATTO,0,,0,,0,,3,,20,,0,,,,,,,,,,,,,
BGP094,JUBA,12,,4,,0,,0,,0,,0,,,,,,,,,,,,,
BGP094,ERNA10,0,,0,,7,,8,,0,,0,,,,,,,,,,,,,
BGP094,BAHY,2,,0,,1,,0,,0,,10,,,,,,,,,,,,,
BGP094,ELTR3,6,,3,,0,,0,,4,,0,,,,,,,,,,,,,
BGP094,APCA,0,,0,,0,,0,,0,,3,,,,,,,,,,,,,
