Parcel,Year,NDVI_SUR,mean.ndwi.gr.nir,mean.ndwi.gr.swir1,mean.ndwi.nir.swir1,mean.tc.bright,mean.tc.wet,mean.tc.green,sd.ndvi,n,PPT,sd.ppt,n.month.ppt
BGP015,1984,0.561073,-0.572749,-0.40771599999999997,0.222959,0.4274425,-0.095951,0.1591225,0.008659229642410447,2,146.442803,15.005114231153781,12
BGP015,1985,0.49117533333333335,-0.5173725,-0.393272,0.16404216666666666,0.4481585,-0.11762633333333332,0.13631766666666667,0.0338277343117547,6,157.97,17.355224583375065,12
BGP015,1986,0.5406314285714285,-0.5519218571428571,-0.4060317142857143,0.19687257142857142,0.40042714285714287,-0.09733985714285714,0.14294085714285715,0.014854405977769068,7,229.589423,28.522189276975343,12
BGP015,1987,0.49655650000000007,-0.5197193333333333,-0.3986915,0.16231433333333334,0.45618783333333335,-0.12127416666666666,0.14257466666666668,0.03283397975725759,6,74.96808300000001,6.869325112087731,12
BGP015,1988,0.45877533333333337,-0.4904345,-0.39382266666666665,0.12826433333333334,0.44895033333333334,-0.12524366666666667,0.121418,0.030084762486459263,6,166.837384,13.5146824287699,12
BGP015,1989,0.4225676666666667,-0.4667446666666667,-0.40095783333333335,0.08939083333333334,0.48790466666666665,-0.15416083333333333,0.11773316666666667,0.02709356155005586,6,85.223351,7.948050134523303,12
BGP015,1990,0.46370500000000003,-0.51053,-0.39827799999999997,0.15412566666666666,0.45715666666666666,-0.12076933333333334,0.13480233333333333,0.011057261143700951,3,105.092756,10.413542232517228,12
BGP015,1991,0.47253933333333337,-0.5054046666666667,-0.366753,0.177846,0.4635508333333333,-0.11443016666666667,0.139381,0.014949517833919146,6,117.084366,25.89947324242437,12
BGP015,1992,0.38188733333333336,-0.42277066666666674,-0.3359315,0.10860266666666667,0.48297833333333334,-0.13338233333333332,0.09954316666666667,0.0418882760335952,6,130.972574,15.702378603722279,12
BGP015,1993,0.41761266666666663,-0.468173,-0.3637876666666667,0.13294866666666666,0.4499668333333333,-0.11882333333333334,0.10951733333333333,0.011729495004758998,6,217.56045600000002,26.226871984867483,12
BGP015,1994,0.410276625,-0.44835975,-0.357785,0.115138125,0.44463425,-0.12745775,0.09864250000000001,0.05340871100950135,8,98.324225,10.93763043517376,12
BGP015,1995,0.536015625,-0.546835875,-0.370439125,0.230186,0.40283487500000004,-0.085724625,0.13852275,0.010661623381314872,8,226.089731,28.785892863323657,12
BGP015,1996,0.49351157142857144,-0.5240257142857143,-0.38506142857142855,0.18246385714285715,0.43453357142857146,-0.10518014285714286,0.13092685714285715,0.02506739993734984,7,150.130187,19.703185944623215,12
BGP015,1997,0.45129675,-0.480296875,-0.386702875,0.12201475,0.429435625,-0.122460125,0.10989025,0.030908191649972477,8,187.942924,18.01559971809433,12
BGP015,1998,0.5158571428571428,-0.5152402857142857,-0.364572,0.193888,0.41787342857142856,-0.09807042857142857,0.12926928571428573,0.05320727227998247,7,291.027409,36.43391531553123,12
BGP015,1999,0.5363693333333334,-0.5568786,-0.39535366666666666,0.21684146666666668,0.4471118,-0.12432986666666668,0.12165193333333334,0.025279934874087293,15,84.859902,7.957836735604967,12
BGP015,2000,0.4595072307692308,-0.5112013846153847,-0.3984798461538462,0.15167853846153845,0.4735738461538462,-0.1579913076923077,0.08425638461538462,0.02441161141804533,13,91.182255,13.069213826322914,12
BGP015,2001,0.4300386,-0.4706878,-0.38518033333333335,0.11423286666666667,0.4612659333333333,-0.15462106666666667,0.07361053333333334,0.02077440153788173,15,137.485856,16.735145790288563,12
BGP015,2002,0.4015275384615385,-0.45686884615384615,-0.35786938461538464,0.12498007692307692,0.4812937692307693,-0.1596796153846154,0.057726769230769234,0.027759757001264096,13,50.624927,7.7253345526320025,12
BGP015,2003,0.46047625000000003,-0.48971424999999996,-0.3586298333333333,0.16705633333333333,0.435531,-0.12167541666666667,0.09261074999999999,0.06433337097865519,12,129.642559,13.831235689435584,12
BGP015,2004,0.4283320769230769,-0.47137384615384614,-0.3483876153846154,0.1560963846153846,0.4582806153846154,-0.14215584615384616,0.07080292307692307,0.05040790023310092,13,108.382821,14.135111129237115,12
BGP015,2005,0.45405425,-0.4831825625,-0.3722375625,0.1415714375,0.4165965625,-0.130054125,0.0721880625,0.014697294660356153,16,255.790369,24.35806888802864,12
BGP015,2006,0.4207739230769231,-0.46312384615384616,-0.41463046153846156,0.06648992307692307,0.43363376923076924,-0.16378915384615386,0.060386153846153846,0.04120899760258985,13,190.211316,20.816091896817703,12
